Файл	C:\Documents and Settings\Center\Рабочий стол\Изгиб_08.11.22\Иост_1.rez
Вид испытания	сжатие	1
Дата	8 Ноябрь 2022 г.	12:49:49
Скорость [мм/мин]	 1.0
Форма	Круглый	0
Начальные размеры: [мм]
Диаметр	Толщина	Ширина	Длина	База
10.00			50.00	40.00
Размеры после испытания: [мм]

Количество точек	2415

Время [с]	Перемещение [мм]	Усилие [Н]
27.60	0.914	1.4900E+0
27.70	0.918	1.5000E+0
27.80	0.921	1.4800E+0
27.90	0.924	1.4900E+0
28.00	0.928	1.4900E+0
28.10	0.931	1.5000E+0
28.20	0.934	1.4800E+0
28.30	0.938	1.4900E+0
28.40	0.941	1.4900E+0
28.50	0.944	1.4900E+0
28.60	0.948	1.5000E+0
28.70	0.951	1.4900E+0
28.80	0.954	1.4900E+0
28.90	0.958	1.5000E+0
29.00	0.961	1.4900E+0
29.10	0.964	1.4900E+0
29.20	0.968	1.4800E+0
29.30	0.971	1.4900E+0
29.40	0.974	1.4900E+0
29.50	0.978	1.5000E+0
29.60	0.981	1.5000E+0
29.70	0.984	1.4900E+0
29.80	0.987	1.4800E+0
29.90	0.991	1.4800E+0
30.00	0.994	1.5000E+0
30.10	0.997	1.5000E+0
30.20	1.000	1.4900E+0
30.30	1.004	1.4900E+0
30.40	1.007	1.4900E+0
30.50	1.010	1.4900E+0
30.60	1.014	1.4900E+0
30.70	1.017	1.4900E+0
30.80	1.020	1.4900E+0
30.90	1.024	1.5100E+0
31.00	1.027	1.4900E+0
31.10	1.030	1.5000E+0
31.20	1.033	1.4900E+0
31.30	1.037	1.4900E+0
31.40	1.040	1.5000E+0
31.50	1.043	1.4900E+0
31.60	1.047	1.5000E+0
31.70	1.050	1.5000E+0
31.80	1.053	1.5000E+0
31.90	1.056	1.5000E+0
32.00	1.060	1.5000E+0
32.10	1.063	1.5000E+0
32.20	1.066	1.5000E+0
32.30	1.070	1.5000E+0
32.40	1.073	1.4900E+0
32.50	1.076	1.4900E+0
32.60	1.079	1.5000E+0
32.70	1.083	1.4900E+0
32.80	1.086	1.5000E+0
32.90	1.089	1.5000E+0
33.00	1.092	1.4900E+0
33.10	1.096	1.5000E+0
33.20	1.099	1.5000E+0
33.30	1.102	1.5100E+0
33.40	1.105	1.5000E+0
33.50	1.108	1.5000E+0
33.60	1.112	1.5000E+0
33.70	1.115	1.4900E+0
33.80	1.118	1.5000E+0
33.90	1.121	1.5000E+0
34.00	1.124	1.5000E+0
34.10	1.128	1.5000E+0
34.20	1.131	1.5000E+0
34.30	1.134	1.5000E+0
34.40	1.138	1.5000E+0
34.50	1.141	1.4900E+0
34.60	1.144	1.4900E+0
34.70	1.147	1.5000E+0
34.80	1.150	1.5000E+0
34.90	1.154	1.5000E+0
35.00	1.157	1.5000E+0
35.10	1.160	1.5100E+0
35.20	1.163	1.5100E+0
35.30	1.166	1.5100E+0
35.40	1.170	1.5000E+0
35.50	1.173	1.5000E+0
35.60	1.176	1.5000E+0
35.70	1.179	1.5000E+0
35.80	1.183	1.5000E+0
35.90	1.186	1.5000E+0
36.00	1.189	1.5100E+0
36.10	1.192	1.5000E+0
36.20	1.195	1.5000E+0
36.30	1.199	1.5000E+0
36.40	1.202	1.4900E+0
36.50	1.205	1.5000E+0
36.60	1.208	1.5100E+0
36.70	1.212	1.5000E+0
36.80	1.215	1.5100E+0
36.90	1.218	1.5100E+0
37.00	1.221	1.5100E+0
37.10	1.224	1.5000E+0
37.20	1.228	1.5000E+0
37.30	1.231	1.5100E+0
37.40	1.234	1.5000E+0
37.50	1.237	1.5000E+0
37.60	1.241	1.5100E+0
37.70	1.244	1.5100E+0
37.80	1.247	1.5000E+0
37.90	1.250	1.5200E+0
38.00	1.254	1.5100E+0
38.10	1.257	1.5000E+0
38.20	1.260	1.5100E+0
38.30	1.263	1.5000E+0
38.40	1.266	1.5100E+0
38.50	1.269	1.5100E+0
38.60	1.272	1.5100E+0
38.70	1.276	1.5000E+0
38.80	1.279	1.5100E+0
38.90	1.282	1.5200E+0
39.00	1.286	1.5100E+0
39.10	1.289	1.5100E+0
39.20	1.292	1.5100E+0
39.30	1.295	1.5200E+0
39.40	1.298	1.5100E+0
39.50	1.302	1.5200E+0
39.60	1.305	1.5000E+0
39.70	1.308	1.5200E+0
39.80	1.311	1.5100E+0
39.90	1.315	1.5100E+0
40.00	1.318	1.5100E+0
40.10	1.321	1.5000E+0
40.20	1.324	1.5100E+0
40.30	1.327	1.5200E+0
40.40	1.331	1.5100E+0
40.50	1.334	1.5100E+0
40.60	1.337	1.5100E+0
40.70	1.340	1.5100E+0
40.80	1.344	1.5100E+0
40.90	1.347	1.5100E+0
41.00	1.350	1.5200E+0
41.10	1.353	1.5300E+0
41.20	1.357	1.5200E+0
41.30	1.360	1.5100E+0
41.40	1.363	1.5200E+0
41.50	1.367	1.5200E+0
41.60	1.370	1.5200E+0
41.70	1.373	1.5200E+0
41.80	1.376	1.5200E+0
41.90	1.380	1.5200E+0
42.00	1.383	1.5200E+0
42.10	1.386	1.5200E+0
42.20	1.390	1.5200E+0
42.30	1.393	1.5100E+0
42.40	1.396	1.5200E+0
42.50	1.399	1.5200E+0
42.60	1.403	1.5200E+0
42.70	1.406	1.5200E+0
42.80	1.409	1.5200E+0
42.90	1.412	1.5200E+0
43.00	1.416	1.5300E+0
43.10	1.419	1.5100E+0
43.20	1.422	1.5300E+0
43.30	1.426	1.5200E+0
43.40	1.429	1.5300E+0
43.50	1.432	1.5300E+0
43.60	1.435	1.5300E+0
43.70	1.439	1.5100E+0
43.80	1.442	1.5300E+0
43.90	1.445	1.5300E+0
44.00	1.448	1.5300E+0
44.10	1.452	1.5300E+0
44.20	1.455	1.5200E+0
44.30	1.458	1.5200E+0
44.40	1.461	1.5300E+0
44.50	1.464	1.5300E+0
44.60	1.468	1.5200E+0
44.70	1.471	1.5300E+0
44.80	1.474	1.5300E+0
44.90	1.477	1.5400E+0
45.00	1.481	1.5300E+0
45.10	1.484	1.5300E+0
45.20	1.487	1.5300E+0
45.30	1.490	1.5300E+0
45.40	1.494	1.5400E+0
45.50	1.497	1.5300E+0
45.60	1.500	1.5300E+0
45.70	1.504	1.5300E+0
45.80	1.507	1.5400E+0
45.90	1.510	1.5400E+0
46.00	1.513	1.5400E+0
46.10	1.517	1.5400E+0
46.20	1.520	1.5300E+0
46.30	1.523	1.5300E+0
46.40	1.527	1.5400E+0
46.50	1.530	1.5300E+0
46.60	1.533	1.5400E+0
46.70	1.536	1.5500E+0
46.80	1.540	1.5500E+0
46.90	1.543	1.5400E+0
47.00	1.547	1.5400E+0
47.10	1.550	1.5300E+0
47.20	1.553	1.5400E+0
47.30	1.557	1.5500E+0
47.40	1.560	1.5400E+0
47.50	1.563	1.5300E+0
47.60	1.567	1.5400E+0
47.70	1.570	1.5300E+0
47.80	1.574	1.5400E+0
47.90	1.577	1.5500E+0
48.00	1.580	1.5500E+0
48.10	1.584	1.5500E+0
48.20	1.587	1.5400E+0
48.30	1.591	1.5400E+0
48.40	1.594	1.5400E+0
48.50	1.597	1.5400E+0
48.60	1.600	1.5400E+0
48.70	1.604	1.5400E+0
48.80	1.607	1.5400E+0
48.90	1.611	1.5500E+0
49.00	1.614	1.5500E+0
49.10	1.617	1.5400E+0
49.20	1.621	1.5500E+0
49.30	1.624	1.5500E+0
49.40	1.627	1.5500E+0
49.50	1.631	1.5500E+0
49.60	1.634	1.5500E+0
49.70	1.638	1.5500E+0
49.80	1.641	1.5500E+0
49.90	1.644	1.5500E+0
50.00	1.647	1.5500E+0
50.10	1.651	1.5500E+0
50.20	1.654	1.5600E+0
50.30	1.657	1.5500E+0
50.40	1.661	1.5500E+0
50.50	1.664	1.5500E+0
50.60	1.667	1.5500E+0
50.70	1.671	1.5500E+0
50.80	1.674	1.5500E+0
50.90	1.678	1.5600E+0
51.00	1.681	1.5500E+0
51.10	1.684	1.5600E+0
51.20	1.688	1.5500E+0
51.30	1.691	1.5500E+0
51.40	1.694	1.5500E+0
51.50	1.698	1.5500E+0
51.60	1.701	1.5500E+0
51.70	1.704	1.5600E+0
51.80	1.708	1.5600E+0
51.90	1.711	1.5600E+0
52.00	1.714	1.5600E+0
52.10	1.718	1.5600E+0
52.20	1.721	1.5600E+0
52.30	1.724	1.5700E+0
52.40	1.728	1.5600E+0
52.50	1.731	1.5600E+0
52.60	1.735	1.5700E+0
